Pourquoi	ADV	pourquoi
tant	ADV	tant
balancer	VER:infi	balancer
,	PUN	,
quand	KON	quand
pour	KON	pour
vous	PRO:PER	vous
tout	ADV	tout
conspire	VER:pres	conspirer
?	SENT	?
Vous	PRO:PER	vous
devez	VER:pres	devoir
vous	PRO:PER	vous
saisir	VER:infi	saisir
des	PRP:det	du
rênes	NOM	rêne
de	PRP	de
l'	DET:ART	le
Empire	NAM	Empire
,	PUN	,
Babylone	NAM	Babylone
est	VER:pres	être
pour	PRP	pour
vous	PRO:PER	vous
;	PUN	;
Alexandre	NAM	Alexandre
en	PRP	en
mourant	NOM	mourant
,	PUN	,
Vous	NAM	Vous
a	VER:pres	avoir
donné	VER:pper	donner
du	PRP:det	du
trône	NOM	trône
un	DET:ART	un
illustre	ADJ	illustre
garant	NOM	garant
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
et	KON	et
sur	PRP	sur
vous	PRO:PER	vous
seul	NOM	seul
remettant	VER:ppre	remettre
sa	DET:POS	son
Couronne	NAM	Couronne
,	PUN	,
C'	NAM	C'
est	VER:pres	être
avec	PRP	avec
son	DET:POS	son
anneau	NOM	anneau
l'	DET:ART	le
Univers	NAM	Univers
qu'	PRO:REL	que
il	PRO:PER	il
vous	PRO:PER	vous
donne	VER:pres	donner
.	SENT	.
Ce	PRO:DEM	ce
jour	NOM	jour
doit	VER:pres	devoir
décider	VER:infi	décider
de	PRP	de
tant	ADV	tant
de	PRP	de
différends	NOM	différend
,	PUN	,
La	DET:ART	le
Terre	NAM	Terre
veut	VER:pres	vouloir
un	DET:ART	un
maître	NOM	maître
,	PUN	,
et	KON	et
non	ADV	non
pas	ADV	pas
des	PRP:det	du
tyrans	NOM	tyran
.	SENT	.
Le	DET:ART	le
fier	ADJ	fier
Léonatus	NAM	Léonatus
,	PUN	,
Cratère	NAM	Cratère
,	PUN	,
Ptolomée	NOM	Ptolomée
,	PUN	,
Ont	VER:futu	Ont
mis	VER:pper	mettre
dans	PRP	dans
leur	DET:POS	leur
parti	NOM	parti
la	DET:ART	le
moitié	NOM	moitié
de	PRP	de
l'	DET:ART	le
armée	NOM	armée
,	PUN	,
On	NAM	On
veut	VER:pres	vouloir
nous	PRO:PER	nous
assiéger	VER:infi	assiéger
,	PUN	,
mais	KON	mais
on	PRO:PER	on
voit	VER:pres	voir
Seleucus	NAM	Seleucus
Eumenes	NAM	Eumenes
,	PUN	,
Alcetas	NAM	Alcetas
,	PUN	,
Python	NAM	Python
,	PUN	,
Antigonus	NAM	Antigonus
,	PUN	,
Qui	NAM	Qui
soutenant	VER:ppre	soutenir
le	DET:ART	le
droit	NOM	droit
où	PRO:REL	où
votre	DET:POS	votre
espoir	NOM	espoir
se	PRO:PER	se
fonde	VER:pres	fonder
,	PUN	,
Veulent	VER:pres	vouloir
vous	PRO:PER	vous
élever	VER:infi	élever
à	PRP	à
l'	DET:ART	le
Empire	NOM	Empire
du	PRP:det	du
Monde	NAM	Monde
;	PUN	;
L'	DET:ART	le
imbécile	ADJ	imbécile
Philipe	NOM	Philipe
est-il	ADJ	est-il
né	VER:pper	naître
pour	PRP	pour
régner	VER:infi	régner
?	SENT	?
Les	DET:ART	le
Macédoniens	NOM	macédonien
ont	VER:pres	avoir
su	VER:pper	savoir
le	PRO:PER	le
dédaigner	VER:infi	dédaigner
.	SENT	.
Bien	ADV	bien
que	KON	que
fils	NOM	fil|fils
de	PRP	de
Philipe	NOM	Philipe
et	KON	et
frère	NOM	frère
d'	PRP	de
Alexandre	NAM	Alexandre
,	PUN	,
Est-il	NOM	Est-il
digne	ADJ	digne
du	PRP:det	du
sang	NOM	sang
dont	PRO:REL	dont
on	PRO:PER	on
l'	PRO:PER	la|le
a	VER:pres	avoir
vu	VER:pper	voir
descendre	VER:infi	descendre
?	SENT	?
Peut-il	NOM	Peut-il
seul	ADJ	seul
commander	VER:infi	commander
à	PRP	à
cent	NUM	cent
Peuples	NOM	peuple
vaincus	VER:pper	vaincre
,	PUN	,
Et	NOM	Et
frère	NOM	frère
d'	PRP	de
Alexandre	NAM	Alexandre
a-t-il	ADJ	a-t-il
les	DET:ART	le
vertus	NOM	vertu
?	SENT	?
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
point	ADV	point
lui	PRO:PER	lui
qu'	ADV	qu'
au	PRP:det	au
trône	NOM	trône
Alexandre	NAM	Alexandre
désigne	VER:pres	désigner
,	PUN	,
Ce	NAM	Ce
Monarque	NAM	Monarque
en	PRP	en
mourant	VER:ppre	mourir
le	PRO:PER	le
remet	VER:pres	remettre
au	PRP:det	au
plus	ADV	plus
digne	ADJ	digne
,	PUN	,
Par	NOM	par
là	ADV	là
sans	PRP	sans
vous	PRO:PER	vous
nommer	VER:infi	nommer
il	PRO:PER	il
